repo,policy,tau,n_prs,conflicts,obs_conflicts,avoided_pct,new_conflicts,added_delay_days,delay_days_per_pr,makespan_days,makespan_inflation_pct
microsoft/react-native-windows,oracle,,33,0,109,100.0,0,2805.309178240741,85.0093690375982,219.24144675925925,343.2801700252361
microsoft/react-native-windows,predictor,0.1,33,0,109,100.0,0,10578.442916666669,320.55887626262626,488.4243518518518,887.5360381611364
microsoft/react-native-windows,predictor,0.15,33,0,109,100.0,0,10578.442916666669,320.55887626262626,488.4243518518518,887.5360381611364
microsoft/react-native-windows,predictor,0.2,33,0,109,100.0,0,10578.442916666669,320.55887626262626,488.4243518518518,887.5360381611364
microsoft/react-native-windows,predictor,0.25,33,0,109,100.0,0,10088.062442129629,305.698861882716,472.84709490740744,856.0406744471654
microsoft/react-native-windows,predictor,0.3,33,10,109,90.8256880733945,4,2665.433668981481,80.77071724186305,251.3544212962963,408.2087910647826
microsoft/react-native-windows,predictor,0.4,33,28,109,74.31192660550458,7,1241.447962962963,37.61963524130191,209.2688425925926,323.11674866518393
microsoft/react-native-windows,predictor,0.5,33,70,109,35.77981651376147,30,478.49090277777776,14.499724326599326,136.17813657407407,175.33602075049237
microsoft/react-native-windows,predictor,0.65,33,94,109,13.761467889908255,8,84.55953703703705,2.5624102132435467,49.458888888888886,0.0
microsoft/react-native-windows,predictor,0.8,33,106,109,2.7522935779816513,0,7.391631944444444,0.2239888468013467,49.458888888888886,0.0
Azure/azure-sdk-for-net,observed,,33,28,28,0.0,0,0.0,0.0,68.07141203703704,0.0
Azure/azure-sdk-for-net,fifo,,33,0,28,100.0,0,3282.0064351851847,99.45474046015713,201.45023148148144,195.93955149905548
Azure/azure-sdk-for-net,oracle,,33,0,28,100.0,0,315.11131944444446,9.548827861952862,90.69655092592592,33.23735796251557
Azure/azure-sdk-for-net,predictor,0.1,33,0,28,100.0,0,3282.0064351851847,99.45474046015713,201.45023148148144,195.93955149905548
Azure/azure-sdk-for-net,predictor,0.15,33,0,28,100.0,0,3282.0064351851847,99.45474046015713,201.45023148148144,195.93955149905548
Azure/azure-sdk-for-net,predictor,0.2,33,10,28,64.28571428571429,3,1063.1833217592591,32.217676416947256,137.85386574074073,102.51359802222952
Azure/azure-sdk-for-net,predictor,0.25,33,21,28,25.0,4,252.4060416666667,7.64866792929293,87.46976851851853,28.49706786003944
Azure/azure-sdk-for-net,predictor,0.3,33,19,28,32.142857142857146,1,124.7289236111111,3.779664351851851,73.18489583333333,7.511940245214986
Azure/azure-sdk-for-net,predictor,0.4,33,25,28,10.714285714285714,1,7.666643518518519,0.2323225308641975,68.07141203703704,0.0
Azure/azure-sdk-for-net,predictor,0.5,33,28,28,0.0,0,0.0,0.0,68.07141203703704,0.0
Azure/azure-sdk-for-net,predictor,0.65,33,28,28,0.0,0,0.0,0.0,68.07141203703704,0.0
Azure/azure-sdk-for-net,predictor,0.8,33,28,28,0.0,0,0.0,0.0,68.07141203703704,0.0
OpenHFT/Java-Thread-Affinity,observed,,34,64,64,0.0,0,0.0,0.0,0.7791898148148149,0.0
OpenHFT/Java-Thread-Affinity,fifo,,34,0,64,100.0,0,38.49415509259259,1.1321810321350765,2.3043981481481475,195.7428478060663
OpenHFT/Java-Thread-Affinity,oracle,,34,0,64,100.0,0,4.672939814814815,0.1374394063180828,1.0488425925925926,34.606815008466775
OpenHFT/Java-Thread-Affinity,predictor,0.1,34,0,64,100.0,0,38.49415509259259,1.1321810321350765,2.3043981481481475,195.7428478060663
OpenHFT/Java-Thread-Affinity,predictor,0.15,34,0,64,100.0,0,38.49415509259259,1.1321810321350765,2.3043981481481475,195.7428478060663
OpenHFT/Java-Thread-Affinity,predictor,0.2,34,11,64,82.8125,0,18.321944444444448,0.5388807189542485,1.4421180555555555,85.07917174177831
OpenHFT/Java-Thread-Affinity,predictor,0.25,34,22,64,65.625,0,5.519988425925927,0.1623526007625272,1.1153819444444446,43.1463711713853
OpenHFT/Java-Thread-Affinity,predictor,0.3,34,54,64,15.625,0,1.1270138888888892,0.0331474673202614,0.8336689814814816,6.991770892130364
OpenHFT/Java-Thread-Affinity,predictor,0.4,34,60,64,6.25,0,0.4353703703703703,0.0128050108932461,0.8287615740740741,6.36196191438163
OpenHFT/Java-Thread-Affinity,predictor,0.5,34,64,64,0.0,0,0.1236111111111111,0.0036356209150326,0.7791898148148149,0.0
OpenHFT/Java-Thread-Affinity,predictor,0.65,34,64,64,0.0,0,0.0,0.0,0.7791898148148149,0.0
OpenHFT/Java-Thread-Affinity,predictor,0.8,34,64,64,0.0,0,0.0,0.0,0.7791898148148149,0.0
stanford-crfm/haliax,observed,,34,19,19,0.0,0,0.0,0.0,35.50347222222222,0.0
stanford-crfm/haliax,fifo,,34,0,19,100.0,0,93.9634259259259,2.7636301742919382,35.50347222222222,0.0
stanford-crfm/haliax,oracle,,34,0,19,100.0,0,41.394224537037054,1.2174771922657956,35.50347222222222,0.0
stanford-crfm/haliax,predictor,0.1,34,0,19,100.0,0,93.9634259259259,2.7636301742919382,35.50347222222222,0.0
stanford-crfm/haliax,predictor,0.15,34,0,19,100.0,0,93.9634259259259,2.7636301742919382,35.50347222222222,0.0
stanford-crfm/haliax,predictor,0.2,34,0,19,100.0,0,93.9634259259259,2.7636301742919382,35.50347222222222,0.0
stanford-crfm/haliax,predictor,0.25,34,0,19,100.0,0,93.9634259259259,2.7636301742919382,35.50347222222222,0.0
stanford-crfm/haliax,predictor,0.3,34,0,19,100.0,0,93.9634259259259,2.7636301742919382,35.50347222222222,0.0
stanford-crfm/haliax,predictor,0.4,34,3,19,84.21052631578948,0,27.000879629629623,0.7941435185185183,35.50347222222222,0.0
stanford-crfm/haliax,predictor,0.5,34,10,19,47.36842105263158,0,9.18041666666666,0.2700122549019606,35.50347222222222,0.0
stanford-crfm/haliax,predictor,0.65,34,15,19,21.05263157894737,0,0.5541550925925923,0.0162986791938997,35.50347222222222,0.0
stanford-crfm/haliax,predictor,0.8,34,19,19,0.0,0,0.0,0.0,35.50347222222222,0.0
theosanderson/taxonium,observed,,34,32,32,0.0,0,0.0,0.0,44.10149305555556,0.0
theosanderson/taxonium,fifo,,34,0,32,100.0,0,97.35600694444445,2.8634119689542485,44.112118055555555,0.0240921548542824
theosanderson/taxonium,oracle,,34,0,32,100.0,0,12.619409722222224,0.3711591094771242,44.10149305555556,0.0
theosanderson/taxonium,predictor,0.1,34,0,32,100.0,0,97.35600694444445,2.8634119689542485,44.112118055555555,0.0240921548542824
theosanderson/taxonium,predictor,0.15,34,0,32,100.0,0,97.35600694444445,2.8634119689542485,44.112118055555555,0.0240921548542824
theosanderson/taxonium,predictor,0.2,34,7,32,78.125,3,67.39583333333333,1.9822303921568627,44.112118055555555,0.0240921548542824
theosanderson/taxonium,predictor,0.25,34,20,32,37.5,10,22.980254629629627,0.6758898420479302,44.112118055555555,0.0240921548542824
