repo,pr_a,pr_b,status,sha_a,sha_b,merge_base,conflict,n_conflict_files,conflict_files,n_shared_src,cross_agent,secs,note
mochilang/mochi,4279,4280,clean,f132b2414ce34e0f5d38cc72971b165f1536e4dc,e703211d1cc71ce4bf6d78336c0576406edcda1f,54d954725abc7a29270b4fcd9ba66bf58c5b5ee0,False,0,,1,False,0.03,
mochilang/mochi,4270,4282,clean,5856dd610c142576777ab674c0b0b0cac9ee5785,9ffc07f8c3a67570af4ada396c4cddfecaa37ee6,54d954725abc7a29270b4fcd9ba66bf58c5b5ee0,False,0,,1,False,0.37,
mochilang/mochi,4272,4282,clean,b3cd5b80808009ecbfd507b99055d29a49d2194f,9ffc07f8c3a67570af4ada396c4cddfecaa37ee6,54d954725abc7a29270b4fcd9ba66bf58c5b5ee0,False,0,,1,False,0.03,
mochilang/mochi,4277,4282,clean,31ebf3dfc2bc595419715ef6c40fdbc006f50720,9ffc07f8c3a67570af4ada396c4cddfecaa37ee6,54d954725abc7a29270b4fcd9ba66bf58c5b5ee0,False,0,,1,False,0.03,
mochilang/mochi,4279,4282,clean,f132b2414ce34e0f5d38cc72971b165f1536e4dc,9ffc07f8c3a67570af4ada396c4cddfecaa37ee6,54d954725abc7a29270b4fcd9ba66bf58c5b5ee0,False,0,,1,False,0.03,
mochilang/mochi,4280,4282,clean,e703211d1cc71ce4bf6d78336c0576406edcda1f,9ffc07f8c3a67570af4ada396c4cddfecaa37ee6,54d954725abc7a29270b4fcd9ba66bf58c5b5ee0,False,0,,1,False,0.04,
mochilang/mochi,4270,4287,clean,5856dd610c142576777ab674c0b0b0cac9ee5785,262b0b29b4911430f05cb7a50847676a5fc554fa,54d954725abc7a29270b4fcd9ba66bf58c5b5ee0,False,0,,1,False,0.4,
mochilang/mochi,4272,4287,clean,b3cd5b80808009ecbfd507b99055d29a49d2194f,262b0b29b4911430f05cb7a50847676a5fc554fa,54d954725abc7a29270b4fcd9ba66bf58c5b5ee0,False,0,,1,False,0.03,
mochilang/mochi,4277,4287,clean,31ebf3dfc2bc595419715ef6c40fdbc006f50720,262b0b29b4911430f05cb7a50847676a5fc554fa,54d954725abc7a29270b4fcd9ba66bf58c5b5ee0,False,0,,1,False,0.03,
mochilang/mochi,4279,4287,clean,f132b2414ce34e0f5d38cc72971b165f1536e4dc,262b0b29b4911430f05cb7a50847676a5fc554fa,54d954725abc7a29270b4fcd9ba66bf58c5b5ee0,False,0,,1,False,0.03,
mochilang/mochi,4280,4287,clean,e703211d1cc71ce4bf6d78336c0576406edcda1f,262b0b29b4911430f05cb7a50847676a5fc554fa,54d954725abc7a29270b4fcd9ba66bf58c5b5ee0,False,0,,1,False,0.03,
mochilang/mochi,4282,4287,clean,9ffc07f8c3a67570af4ada396c4cddfecaa37ee6,262b0b29b4911430f05cb7a50847676a5fc554fa,54d954725abc7a29270b4fcd9ba66bf58c5b5ee0,False,0,,1,False,0.03,
mochilang/mochi,4270,4289,clean,5856dd610c142576777ab674c0b0b0cac9ee5785,584770a117da4b00d411ed72b584378d11f253a6,54d954725abc7a29270b4fcd9ba66bf58c5b5ee0,False,0,,1,False,0.34,
